,date,value,action,reward,balance,coin,position,price,index
0,2023-02-28,100000000.0,7,-0.07735677,-100080000.0,6.343684993748827,2,31527416.666666668,82159
1,2023-02-28,99923647.61887142,0,-0.29900721,599643646.1598239,-15.858923247833472,-5,31527991.666666668,82160
2,2023-02-28,99637963.37899345,7,-0.29688896,-100642038.89411885,6.343497201724797,2,31528350.0,82161
3,2023-02-28,99361820.06667888,0,-0.32565343,599081818.5230945,-15.85843701887815,-5,31528958.333333332,82162
4,2023-02-28,99067545.9297775,0,-0.01495071,599081818.5230945,-15.85843701887815,-5,31529858.333333332,82163
5,2023-02-28,99054727.02652055,10,-0.47677039,-401345283.8100781,15.857577807848443,5,31530666.666666668,82164
6,2023-02-28,98669780.88883936,2,-0.44295051,398349774.8629598,-9.514260025783644,-3,31531616.666666668,82165
7,2023-02-28,98338278.46542865,0,-0.03136577,398349774.8629598,-9.514260025783644,-5,31532825.0,82166
8,2023-02-28,98315682.09786743,2,-0.04025254,398349774.8629598,-9.514260025783644,-5,31535200.0,82167
9,2023-02-28,98287377.17429072,0,-0.0361293,398349774.8629598,-9.514260025783644,-5,31538175.0,82168
10,2023-02-28,98263274.38222545,0,-0.03785195,398349774.8629598,-9.514260025783644,-5,31540708.333333332,82169
11,2023-02-28,98238933.73365945,0,-0.04801633,398349774.8629598,-9.514260025783644,-5,31543266.666666668,82170
12,2023-02-28,98209756.6695804,10,-0.48859695,-402110299.3376969,15.849702553915405,5,31546333.333333332,82171
13,2023-02-28,97937381.85081947,7,0.06888797,-402110299.3376969,15.849702553915405,5,31549341.666666668,82172
14,2023-02-28,97981893.09882504,2,-0.69699502,397661856.22185045,-9.508068388366562,-3,31552150.0,82173
15,2023-02-28,97634837.46084684,2,-0.05034226,397661856.22185045,-9.508068388366562,-5,31554991.666666668,82174
16,2023-02-28,97610195.71694034,10,-0.63184962,-402709824.94726163,15.844052274809806,5,31557583.333333332,82175
17,2023-02-28,97322391.29236388,2,-0.83740754,397002378.40586805,-9.505818881408043,-3,31559616.666666668,82176
18,2023-02-28,96983921.2742067,0,-0.03352387,397002378.40586805,-9.505818881408043,-5,31561558.333333332,82177
19,2023-02-28,96971484.4945035,0,-0.03338071,397002378.40586805,-9.505818881408043,-5,31562866.666666668,82178
20,2023-02-28,96959364.57542968,7,-0.61378693,-103240652.63010246,6.336304091905978,2,31564141.666666668,82179
21,2023-02-28,96765947.68665993,0,-1.02105598,596485945.0465332,-15.840237476840253,-5,31565183.333333332,82180
22,2023-02-28,96470104.8090564,7,-1.03514903,-103809901.52703857,6.33589426659648,2,31566183.333333332,82181
23,2023-02-28,96194428.00071031,0,-1.40257886,595914426.2688992,-15.839392781038345,-5,31566866.666666668,82182
24,2023-02-28,95917462.15251559,0,0.05101505,595914426.2688992,-15.839392781038345,-5,31566675.0,82183
25,2023-02-28,95928285.73758262,4,0.01377285,595914426.2688992,-15.839392781038345,-5,31565991.666666668,82184
26,2023-02-28,95931189.62625921,7,-2.568502,-104348803.66839784,6.335969536658468,2,31565808.333333332,82185
27,2023-02-28,95650457.13515624,2,-2.88339245,395450457.43083483,-9.503989431563753,-3,31565691.666666668,82186
28,2023-02-28,95454179.8266955,7,-12.46494619,-104745818.68434614,6.336071572264481,2,31565300.0,82187
29,2023-02-28,95254075.714461,10,-0.54936566,-104745818.68434614,6.336071572264481,5,31565283.333333332,82188
30,2023-02-28,95251541.28583208,0,-4.34767913,594971542.3418441,-15.840388026145089,-5,31564883.333333332,82189
31,2023-02-28,94975898.4485513,0,-0.03750602,594971542.3418441,-15.840388026145089,-5,31564608.333333332,82190
32,2023-02-28,94973258.38388026,0,-0.01900393,594971542.3418441,-15.840388026145089,-5,31564775.0,82191
33,2023-02-28,94971410.33861053,7,-1.71684616,-105308589.71419072,6.336153537672525,2,31564891.666666668,82192
34,2023-02-28,94688611.8179968,7,-0.49756148,-305388589.7141907,12.672395734194245,4,31564450.0,82193
35,2023-02-28,94600163.554174,7,-0.06661464,-305388589.7141907,12.672395734194245,5,31563783.333333332,82194
36,2023-02-28,94588019.17492872,2,-1.11839127,394308028.5313731,-9.50485262329972,-3,31562825.0,82195
37,2023-02-28,94329968.89951187,7,-0.86498262,-105870022.32434088,6.3370318715737115,2,31560516.666666668,82196
38,2023-02-28,94112233.9864187,10,-0.06101223,-105870022.32434088,6.3370318715737115,5,31557716.666666668,82197
39,2023-02-28,94096866.68413013,0,-0.82117448,593816879.9285268,-15.845202930834368,-5,31555291.666666668,82198
40,2023-02-28,93855568.63234955,0,0.13229862,593816879.9285268,-15.845202930834368,-5,31552850.0,82199
41,2023-02-28,93905216.93486613,7,-0.88362773,-106374747.7303313,6.339201144437113,2,31549716.666666668,82200
42,2023-02-28,93602219.83884388,0,-0.55440521,593322229.0518162,-15.84982816144635,-5,31546083.333333332,82201
43,2023-02-28,93402006.5202288,0,0.16118319,593322229.0518162,-15.84982816144635,-5,31541050.0,82202
44,2023-02-28,93475311.97547549,6,-0.60391252,-6764626.791355014,3.1709364647387903,1,31536425.0,82203
45,2023-02-28,93220892.59878935,0,-0.38128423,592980898.3910333,-15.856978510887005,-5,31531858.333333332,82204
46,2023-02-28,93047894.12524182,2,0.1227687,592980898.3910333,-15.856978510887005,-5,31527633.333333332,82205
47,2023-02-28,93113568.44457436,10,-0.88532468,-407286378.4874042,15.861187119975868,5,31523491.666666668,82206
48,2023-02-28,92662997.89037114,0,-0.63522553,592263018.1398201,-15.862793184075025,-5,31520300.0,82207
49,2023-02-28,92307830.53056508,7,-0.50458479,-107972151.5444786,6.345686004351554,2,31517475.0,82208
50,2023-02-28,92011032.38760987,10,-0.03092629,-107972151.5444786,6.345686004351554,5,31514825.0,82209
51,2023-02-28,91992365.49461374,0,-0.34448679,591712379.6877981,-15.867030056915038,-5,31511883.333333332,82210
52,2023-02-28,91768972.0950011,10,-0.66272173,-408631005.268036,15.868826167059595,5,31508316.666666668,82211
53,2023-02-28,91308825.43274719,0,-0.45583902,590908849.5004668,-15.870736029189457,-5,31504525.0,82212
54,2023-02-28,90967703.4799084,0,0.08168274,590908849.5004668,-15.870736029189457,-5,31500816.666666668,82213
55,2023-02-28,91040708.86564267,0,0.09630271,590908849.5004668,-15.870736029189457,-5,31496216.666666668,82214
56,2023-02-28,91125881.81566602,0,0.09701545,590908849.5004668,-15.870736029189457,-5,31490850.0,82215
57,2023-02-28,91213170.86382657,10,-0.59567235,-409186707.40762806,15.880401520072034,5,31485350.0,82216
58,2023-02-28,90732964.22801632,0,-0.3706976,590332996.3593621,-15.882953223379177,-5,31480291.666666668,82217
59,2023-02-28,90412411.12547904,0,0.07352321,590332996.3593621,-15.882953223379177,-5,31475291.666666668,82218
60,2023-02-28,90489972.88038659,7,-0.33300145,-109789964.329005,6.355176516351737,2,31470408.333333332,82219
61,2023-02-28,90181596.25608432,7,-0.13895688,-309869964.329005,12.711256848732365,4,31465933.333333332,82220
62,2023-02-28,90049162.32158333,7,-0.05714454,-309869964.329005,12.711256848732365,5,31461808.333333332,82221
63,2023-02-28,89993656.50001055,0,-0.28216055,589633711.0516789,-15.894490254425754,-5,31457441.666666668,82222
64,2023-02-28,89706825.70684922,2,0.05745409,589633711.0516789,-15.894490254425754,-5,31452841.666666668,82223
65,2023-02-28,89775701.83128512,7,-0.30733017,-110504241.37240303,6.359602111493895,2,31448508.333333332,82224
66,2023-02-28,89466769.44130543,7,-0.14081085,-310584241.372403,12.720126155069845,4,31443950.0,82225
67,2023-02-28,89327302.85153049,10,-0.06950974,-310584241.372403,12.720126155069845,5,31439275.0,82226
68,2023-02-28,89259992.1839599,2,-0.22869635,388980054.49053735,-9.543811130098582,-3,31433983.333333332,82227
69,2023-02-28,89033579.36462533,2,0.05216311,388980054.49053735,-9.543811130098582,-5,31428375.0,82228
70,2023-02-28,89092750.9936319,6,-0.19413635,-11067203.92776686,3.182465885954744,1,31422175.0,82229
71,2023-02-28,88911500.0713463,0,-0.1249715,588671508.5897467,-15.915718841399332,-5,31415483.333333332,82230
72,2023-02-28,88793794.36284477,0,0.14627036,588671508.5897467,-15.915718841399332,-5,31407800.0,82231
73,2023-02-28,88955471.5400753,0,0.14212178,588671508.5897467,-15.915718841399332,-5,31397641.666666668,82232
74,2023-02-28,89109721.38184655,0,0.1557282,588671508.5897467,-15.915718841399332,-5,31387950.0,82233
75,2023-02-28,89275377.48878741,5,0.0,588671508.5897467,-15.915718841399332,-5,31377541.666666668,82234
76,2023-02-28,89432147.31937522,2,0.14759162,588671508.5897467,-15.915718841399332,-5,31367691.666666668,82235
77,2023-02-28,89581887.70747471,0,0.15312253,588671508.5897467,-15.915718841399332,-5,31358283.333333332,82236
78,2023-02-28,89735341.76330388,0,0.15852585,588671508.5897467,-15.915718841399332,-5,31348641.666666668,82237
79,2023-02-28,89885214.7823937,7,-0.41411404,-110394299.73512924,6.381778745326344,2,31339225.0,82238
80,2023-02-28,89544701.09636337,2,-0.13614085,389344725.4960308,-9.57558863271234,-3,31329666.666666668,82239
81,2023-02-28,89435374.40175378,2,0.0972424,389344725.4960308,-9.57558863271234,-5,31320200.0,82240
